epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92329,1.76927,2.6817,1.76332,0.05748,0.33333,0.04726,0.02196,1.47095,2.62576,1.43479,4e-05,4e-05,4e-05
2,3.09163,1.66997,2.62172,1.72787,0.57859,0.5,0.49414,0.4228,0.61595,1.15344,0.92191,9.835e-05,9.835e-05,9.835e-05
3,4.56862,0.78402,1.63827,1.09467,0.42463,0.96667,0.85337,0.70931,0.44413,5.84282,0.87946,0.00015472,0.00015472,0.00015472
4,6.02675,0.44555,0.72669,0.91832,1,0.76667,0.98313,0.89835,0.41503,2.33271,0.84941,0.00020911,0.00020911,0.00020911
5,8.46528,0.35315,0.5064,0.88282,0.88376,0.98333,0.99382,0.93313,0.33654,1.35708,0.82473,0.00026152,0.00026152,0.00026152
6,10.3071,0.38945,0.45918,0.86993,0.94227,1,0.99401,0.93289,0.36456,0.96379,0.83051,0.00031195,0.00031195,0.00031195
7,12.3818,0.37081,0.43024,0.86248,0.98212,1,0.995,0.88591,0.48653,0.64805,0.84833,0.0003604,0.0003604,0.0003604
8,14.3353,0.36961,0.40248,0.85128,0.99827,1,0.995,0.87872,0.53327,0.54855,0.85721,0.00040687,0.00040687,0.00040687
9,15.8014,0.38367,0.44926,0.86082,0.98351,1,0.995,0.9003,0.44651,0.64479,0.83987,0.00045136,0.00045136,0.00045136
10,17.1548,0.37427,0.39987,0.85339,0.99869,1,0.995,0.89767,0.4528,0.72515,0.84895,0.00049387,0.00049387,0.00049387
11,18.551,0.37561,0.37792,0.83705,0.98217,1,0.995,0.84867,0.58619,0.82649,0.95736,0.0005344,0.0005344,0.0005344
12,19.9427,0.38203,0.38568,0.87026,0.98261,0.94159,0.99202,0.84743,0.5733,0.75128,0.91297,0.00057295,0.00057295,0.00057295
13,21.3105,0.39456,0.39295,0.86843,0.99695,1,0.995,0.86436,0.53208,0.52613,0.86913,0.00060952,0.00060952,0.00060952
14,22.6604,0.38387,0.38388,0.86213,0.99621,1,0.995,0.8873,0.46789,0.48136,0.85907,0.00064411,0.00064411,0.00064411
15,24.0579,0.39101,0.39371,0.87589,0.98928,1,0.995,0.90408,0.43883,0.4952,0.84406,0.00067672,0.00067672,0.00067672
16,26.0506,0.35963,0.33859,0.84623,0.99782,1,0.995,0.94423,0.36001,0.48578,0.81559,0.00070735,0.00070735,0.00070735
17,28.4823,0.37316,0.40227,0.86539,0.99828,1,0.995,0.93394,0.3591,0.59152,0.81158,0.000736,0.000736,0.000736
18,30.0449,0.35443,0.33726,0.85103,0.99164,0.98333,0.99322,0.94212,0.35184,0.77855,0.81448,0.00076267,0.00076267,0.00076267
19,31.3877,0.34154,0.35487,0.85761,0.98438,0.98333,0.99452,0.95257,0.34898,0.92571,0.82872,0.00078736,0.00078736,0.00078736
20,32.8004,0.34126,0.30691,0.85227,0.84411,0.75,0.80874,0.5798,0.8007,1.35302,1.28834,0.00081007,0.00081007,0.00081007
21,34.14,0.34738,0.34485,0.85798,0.90591,0.81667,0.8969,0.67702,0.67025,1.09927,1.15866,0.0008308,0.0008308,0.0008308
22,35.8544,0.33206,0.32602,0.83463,0.99435,1,0.995,0.95205,0.33442,0.64911,0.81828,0.00084955,0.00084955,0.00084955
23,37.2148,0.34587,0.3147,0.84722,0.99734,1,0.995,0.92566,0.34917,0.54665,0.8213,0.00086632,0.00086632,0.00086632
24,38.7248,0.34482,0.34654,0.8412,0.99713,1,0.995,0.92451,0.3567,0.60707,0.81774,0.00088111,0.00088111,0.00088111
25,40.6151,0.33845,0.29591,0.84903,0.99612,1,0.995,0.91511,0.38453,0.54882,0.82098,0.00089392,0.00089392,0.00089392
26,42.5957,0.34617,0.3073,0.85543,0.99622,1,0.995,0.92405,0.38011,0.42471,0.82849,0.00090475,0.00090475,0.00090475
27,44.3733,0.35139,0.32173,0.86746,0.99799,1,0.995,0.92084,0.39773,0.41578,0.8376,0.0009136,0.0009136,0.0009136
28,45.788,0.34661,0.30812,0.83919,0.99825,1,0.995,0.93692,0.37775,0.41415,0.82559,0.00092047,0.00092047,0.00092047
29,47.072,0.34336,0.32379,0.83274,0.99825,1,0.995,0.93692,0.37775,0.41415,0.82559,0.00092536,0.00092536,0.00092536
30,48.4627,0.33755,0.27632,0.83172,0.99853,1,0.995,0.95075,0.36183,0.37948,0.81737,0.00092827,0.00092827,0.00092827
31,49.8199,0.34561,0.2827,0.85016,0.99803,1,0.995,0.95617,0.35684,0.36512,0.81786,0.0009292,0.0009292,0.0009292
32,51.2247,0.3286,0.281,0.83745,0.99775,1,0.995,0.95841,0.32538,0.32116,0.8176,0.00092815,0.00092815,0.00092815
33,53.1437,0.33872,0.27537,0.84252,0.99775,1,0.995,0.95841,0.32538,0.32116,0.8176,0.00092512,0.00092512,0.00092512
34,54.9536,0.33281,0.28204,0.83902,0.9985,1,0.995,0.95422,0.32216,0.31986,0.80849,0.000911,0.000911,0.000911
35,56.3084,0.32404,0.27907,0.83022,0.99815,1,0.995,0.94988,0.34595,0.35376,0.80742,0.000878,0.000878,0.000878
36,57.8579,0.31365,0.2636,0.83613,0.99737,1,0.995,0.95903,0.30811,0.36119,0.80437,0.000845,0.000845,0.000845
37,59.6794,0.33315,0.29004,0.83982,0.99737,1,0.995,0.95903,0.30811,0.36119,0.80437,0.000812,0.000812,0.000812
38,61.3737,0.30402,0.26296,0.83952,0.9977,1,0.995,0.95893,0.30227,0.34696,0.79331,0.000779,0.000779,0.000779
39,63.0579,0.32882,0.2739,0.84822,0.99777,1,0.995,0.94508,0.36508,0.30051,0.8203,0.000746,0.000746,0.000746
40,64.5278,0.31516,0.24454,0.83663,0.99851,1,0.995,0.94399,0.3251,0.24502,0.81511,0.000713,0.000713,0.000713
41,66.3189,0.31398,0.25336,0.84045,0.99851,1,0.995,0.94399,0.3251,0.24502,0.81511,0.00068,0.00068,0.00068
42,67.9591,0.31806,0.25049,0.84672,0.99887,1,0.995,0.96393,0.28363,0.21659,0.80901,0.000647,0.000647,0.000647
43,69.4004,0.3096,0.24172,0.83688,0.99905,1,0.995,0.95338,0.30081,0.2149,0.81391,0.000614,0.000614,0.000614
44,70.8266,0.3086,0.24468,0.84955,0.99906,1,0.995,0.94486,0.34389,0.22325,0.82185,0.000581,0.000581,0.000581
45,72.1701,0.3294,0.25824,0.85532,0.99906,1,0.995,0.94486,0.34389,0.22325,0.82185,0.000548,0.000548,0.000548
46,73.5293,0.31637,0.24875,0.83272,0.99905,1,0.995,0.9422,0.35934,0.25023,0.82039,0.000515,0.000515,0.000515
47,75.374,0.3161,0.25192,0.82412,0.99902,1,0.995,0.96054,0.31596,0.25654,0.80153,0.000482,0.000482,0.000482
48,77.1573,0.29644,0.24158,0.84367,0.99901,1,0.995,0.97954,0.26698,0.24224,0.78355,0.000449,0.000449,0.000449
49,79.1056,0.29522,0.2287,0.83106,0.99901,1,0.995,0.97954,0.26698,0.24224,0.78355,0.000416,0.000416,0.000416
50,80.8113,0.28946,0.23168,0.84265,0.99901,1,0.995,0.97855,0.25079,0.24115,0.77766,0.000383,0.000383,0.000383
51,83.9709,0.29024,0.26284,0.8216,0.99898,1,0.995,0.97995,0.239,0.24662,0.77458,0.00035,0.00035,0.00035
52,85.5113,0.26669,0.22767,0.81805,0.99899,1,0.995,0.9838,0.24107,0.24665,0.77595,0.000317,0.000317,0.000317
53,86.8275,0.27104,0.22072,0.8078,0.99899,1,0.995,0.9838,0.24107,0.24665,0.77595,0.000284,0.000284,0.000284
54,88.7017,0.25875,0.21743,0.81211,0.99902,1,0.995,0.98456,0.24115,0.23588,0.77443,0.000251,0.000251,0.000251
55,90.3299,0.26841,0.21228,0.8159,0.99908,1,0.995,0.98221,0.23643,0.22584,0.76877,0.000218,0.000218,0.000218
56,92.4688,0.27289,0.21146,0.79479,0.99908,1,0.995,0.9842,0.23526,0.22169,0.76375,0.000185,0.000185,0.000185
57,94.4889,0.26739,0.2173,0.82258,0.99908,1,0.995,0.9842,0.23526,0.22169,0.76375,0.000152,0.000152,0.000152
58,95.9904,0.25892,0.21504,0.82574,0.99908,1,0.995,0.98294,0.23714,0.22031,0.76174,0.000119,0.000119,0.000119
59,97.284,0.26365,0.22371,0.80871,0.99908,1,0.995,0.98297,0.23311,0.21603,0.75892,8.6e-05,8.6e-05,8.6e-05
60,98.6339,0.26648,0.20199,0.8151,0.99909,1,0.995,0.98363,0.23103,0.20842,0.75766,5.3e-05,5.3e-05,5.3e-05
