class,confidence,book_id,book,page_id,panel_id,person
4,0.919366,03,tintin_in_america,02,01,tintin
4,0.737905,03,tintin_in_america,02,02,tintin
4,0.879468,03,tintin_in_america,02,04,tintin
2,0.705216,03,tintin_in_america,02,04,snowy
4,0.888534,03,tintin_in_america,02,05,tintin
2,0.66689,03,tintin_in_america,02,05,snowy
3,0.792713,03,tintin_in_america,02,06,thompson
4,0.891698,03,tintin_in_america,02,07,tintin
2,0.871222,03,tintin_in_america,02,07,snowy
2,0.805845,03,tintin_in_america,02,07,snowy
4,0.892259,03,tintin_in_america,03,01,tintin
4,0.892788,03,tintin_in_america,03,03,tintin
2,0.87195,03,tintin_in_america,03,03,snowy
4,0.909182,03,tintin_in_america,03,05,tintin
4,0.907578,03,tintin_in_america,03,06,tintin
2,0.857672,03,tintin_in_america,03,06,snowy
4,0.887777,03,tintin_in_america,03,08,tintin
2,0.86818,03,tintin_in_america,03,08,snowy
4,0.899543,03,tintin_in_america,03,09,tintin
2,0.746209,03,tintin_in_america,03,09,snowy
4,0.88403,03,tintin_in_america,03,10,tintin
2,0.754355,03,tintin_in_america,03,10,snowy
2,0.365656,03,tintin_in_america,03,12,snowy
4,0.861377,03,tintin_in_america,04,02,tintin
2,0.810423,03,tintin_in_america,04,02,snowy
2,0.461495,03,tintin_in_america,04,02,snowy
4,0.879315,03,tintin_in_america,04,03,tintin
4,0.917683,03,tintin_in_america,04,04,tintin
3,0.277092,03,tintin_in_america,04,04,thompson
4,0.911639,03,tintin_in_america,04,05,tintin
2,0.604496,03,tintin_in_america,04,05,snowy
4,0.909349,03,tintin_in_america,04,06,tintin
4,0.884906,03,tintin_in_america,04,07,tintin
2,0.654107,03,tintin_in_america,04,07,snowy
4,0.917537,03,tintin_in_america,04,08,tintin
2,0.854075,03,tintin_in_america,04,08,snowy
4,0.416369,03,tintin_in_america,04,09,tintin
4,0.917182,03,tintin_in_america,04,10,tintin
4,0.920246,03,tintin_in_america,04,12,tintin
3,0.676146,03,tintin_in_america,04,12,thompson
4,0.900686,03,tintin_in_america,05,03,tintin
2,0.774825,03,tintin_in_america,05,03,snowy
4,0.896172,03,tintin_in_america,05,04,tintin
4,0.880361,03,tintin_in_america,05,07,tintin
2,0.768273,03,tintin_in_america,05,07,snowy
4,0.905913,03,tintin_in_america,05,08,tintin
3,0.452752,03,tintin_in_america,05,08,thompson
3,0.518648,03,tintin_in_america,05,09,thompson
3,0.289641,03,tintin_in_america,06,01,thompson
4,0.895468,03,tintin_in_america,06,02,tintin
2,0.61671,03,tintin_in_america,06,02,snowy
4,0.871278,03,tintin_in_america,06,06,tintin
4,0.89483,03,tintin_in_america,06,08,tintin
2,0.834848,03,tintin_in_america,06,08,snowy
4,0.901966,03,tintin_in_america,06,12,tintin
2,0.880615,03,tintin_in_america,06,12,snowy
3,0.34446,03,tintin_in_america,06,12,thompson
4,0.901494,03,tintin_in_america,07,03,tintin
2,0.852612,03,tintin_in_america,07,03,snowy
4,0.920529,03,tintin_in_america,07,05,tintin
2,0.896863,03,tintin_in_america,07,05,snowy
4,0.913936,03,tintin_in_america,07,06,tintin
2,0.897141,03,tintin_in_america,07,08,snowy
4,0.949952,03,tintin_in_america,07,11,tintin
2,0.795795,03,tintin_in_america,07,11,snowy
4,0.903114,03,tintin_in_america,08,01,tintin
4,0.894822,03,tintin_in_america,08,02,tintin
2,0.891784,03,tintin_in_america,08,02,snowy
2,0.79267,03,tintin_in_america,08,04,snowy
4,0.704154,03,tintin_in_america,08,05,tintin
4,0.407282,03,tintin_in_america,08,05,tintin
4,0.912807,03,tintin_in_america,08,07,tintin
4,0.882297,03,tintin_in_america,08,08,tintin
2,0.857887,03,tintin_in_america,08,08,snowy
4,0.909151,03,tintin_in_america,08,10,tintin
2,0.869188,03,tintin_in_america,08,10,snowy
4,0.913152,03,tintin_in_america,08,11,tintin
2,0.904226,03,tintin_in_america,08,11,snowy
4,0.907632,03,tintin_in_america,09,01,tintin
4,0.921981,03,tintin_in_america,09,02,tintin
4,0.917434,03,tintin_in_america,09,04,tintin
4,0.91613,03,tintin_in_america,09,05,tintin
2,0.524488,03,tintin_in_america,09,05,snowy
4,0.903817,03,tintin_in_america,09,06,tintin
4,0.871774,03,tintin_in_america,09,07,tintin
4,0.863447,03,tintin_in_america,09,10,tintin
2,0.687135,03,tintin_in_america,09,10,snowy
4,0.904029,03,tintin_in_america,09,11,tintin
4,0.909592,03,tintin_in_america,10,01,tintin
2,0.902626,03,tintin_in_america,10,04,snowy
4,0.898592,03,tintin_in_america,10,04,tintin
4,0.911092,03,tintin_in_america,10,05,tintin
3,0.495172,03,tintin_in_america,10,05,thompson
2,0.913906,03,tintin_in_america,10,06,snowy
4,0.907109,03,tintin_in_america,10,06,tintin
2,0.497983,03,tintin_in_america,10,06,snowy
4,0.902414,03,tintin_in_america,10,07,tintin
4,0.906133,03,tintin_in_america,10,08,tintin
4,0.908722,03,tintin_in_america,10,09,tintin
2,0.826013,03,tintin_in_america,10,09,snowy
2,0.900627,03,tintin_in_america,10,10,snowy
4,0.900536,03,tintin_in_america,10,10,tintin
4,0.898931,03,tintin_in_america,10,11,tintin
2,0.705904,03,tintin_in_america,10,11,snowy
2,0.924725,03,tintin_in_america,10,12,snowy
4,0.912505,03,tintin_in_america,10,12,tintin
4,0.916209,03,tintin_in_america,11,01,tintin
2,0.848266,03,tintin_in_america,11,01,snowy
4,0.915205,03,tintin_in_america,11,02,tintin
2,0.820225,03,tintin_in_america,11,03,snowy
4,0.677643,03,tintin_in_america,11,03,tintin
4,0.903659,03,tintin_in_america,11,04,tintin
2,0.879,03,tintin_in_america,11,04,snowy
4,0.924358,03,tintin_in_america,11,05,tintin
2,0.875012,03,tintin_in_america,11,05,snowy
4,0.906361,03,tintin_in_america,11,06,tintin
3,0.640135,03,tintin_in_america,11,06,thompson
4,0.871148,03,tintin_in_america,11,07,tintin
4,0.871056,03,tintin_in_america,11,08,tintin
2,0.767062,03,tintin_in_america,11,08,snowy
4,0.918542,03,tintin_in_america,12,01,tintin
3,0.88937,03,tintin_in_america,12,02,thompson
3,0.631402,03,tintin_in_america,12,02,thompson
3,0.804451,03,tintin_in_america,12,03,thompson
4,0.925825,03,tintin_in_america,12,04,tintin
3,0.809016,03,tintin_in_america,12,04,thompson
4,0.907601,03,tintin_in_america,12,05,tintin
3,0.772089,03,tintin_in_america,12,05,thompson
3,0.6474,03,tintin_in_america,12,07,thompson
3,0.891498,03,tintin_in_america,12,08,thompson
4,0.91034,03,tintin_in_america,12,09,tintin
3,0.886489,03,tintin_in_america,12,09,thompson
4,0.906725,03,tintin_in_america,12,10,tintin
3,0.579963,03,tintin_in_america,12,10,thompson
3,0.361324,03,tintin_in_america,12,10,thompson
4,0.629954,03,tintin_in_america,12,11,tintin
4,0.901127,03,tintin_in_america,13,01,tintin
4,0.89991,03,tintin_in_america,13,04,tintin
4,0.901244,03,tintin_in_america,13,05,tintin
4,0.9002,03,tintin_in_america,13,06,tintin
4,0.911299,03,tintin_in_america,13,07,tintin
4,0.908846,03,tintin_in_america,13,09,tintin
4,0.540957,03,tintin_in_america,13,10,tintin
4,0.892931,03,tintin_in_america,13,11,tintin
4,0.90823,03,tintin_in_america,13,12,tintin
4,0.669516,03,tintin_in_america,14,06,tintin
4,0.800965,03,tintin_in_america,15,01,tintin
4,0.896962,03,tintin_in_america,15,03,tintin
1,0.382779,03,tintin_in_america,15,06,haddock
4,0.482413,03,tintin_in_america,15,07,tintin
2,0.726577,03,tintin_in_america,15,09,snowy
4,0.747401,03,tintin_in_america,15,10,tintin
4,0.659624,03,tintin_in_america,15,10,tintin
4,0.8976,03,tintin_in_america,16,03,tintin
2,0.854093,03,tintin_in_america,16,03,snowy
3,0.339059,03,tintin_in_america,16,06,thompson
4,0.908025,03,tintin_in_america,16,07,tintin
4,0.878235,03,tintin_in_america,16,07,tintin
2,0.867832,03,tintin_in_america,16,07,snowy
2,0.393845,03,tintin_in_america,16,07,snowy
3,0.537021,03,tintin_in_america,16,08,thompson
3,0.53042,03,tintin_in_america,16,08,thompson
2,0.932812,03,tintin_in_america,17,01,snowy
4,0.906997,03,tintin_in_america,17,01,tintin
2,0.279769,03,tintin_in_america,17,01,snowy
2,0.909768,03,tintin_in_america,17,02,snowy
2,0.772281,03,tintin_in_america,17,03,snowy
2,0.904154,03,tintin_in_america,17,04,snowy
2,0.895929,03,tintin_in_america,17,05,snowy
4,0.665119,03,tintin_in_america,17,05,tintin
3,0.25367,03,tintin_in_america,17,05,thompson
2,0.50288,03,tintin_in_america,17,07,snowy
4,0.273598,03,tintin_in_america,17,08,tintin
2,0.788315,03,tintin_in_america,17,09,snowy
4,0.567478,03,tintin_in_america,17,09,tintin
3,0.841875,03,tintin_in_america,18,01,thompson
4,0.825307,03,tintin_in_america,18,01,tintin
4,0.854846,03,tintin_in_america,18,03,tintin
2,0.280866,03,tintin_in_america,18,03,snowy
3,0.88097,03,tintin_in_america,18,06,thompson
2,0.602004,03,tintin_in_america,18,08,snowy
2,0.260287,03,tintin_in_america,18,08,snowy
4,0.859845,03,tintin_in_america,18,09,tintin
2,0.510026,03,tintin_in_america,18,09,snowy
4,0.922278,03,tintin_in_america,18,11,tintin
2,0.763289,03,tintin_in_america,19,01,snowy
4,0.449934,03,tintin_in_america,19,02,tintin
2,0.515741,03,tintin_in_america,19,03,snowy
2,0.908203,03,tintin_in_america,19,04,snowy
4,0.875388,03,tintin_in_america,19,07,tintin
2,0.851466,03,tintin_in_america,19,07,snowy
2,0.885343,03,tintin_in_america,19,08,snowy
2,0.66842,03,tintin_in_america,19,10,snowy
4,0.401761,03,tintin_in_america,19,10,tintin
2,0.781021,03,tintin_in_america,19,11,snowy
4,0.28602,03,tintin_in_america,19,11,tintin
4,0.871835,03,tintin_in_america,19,12,tintin
2,0.819902,03,tintin_in_america,19,12,snowy
4,0.300931,03,tintin_in_america,20,05,tintin
4,0.312449,03,tintin_in_america,20,09,tintin
3,0.301378,03,tintin_in_america,21,04,thompson
3,0.801833,03,tintin_in_america,21,08,thompson
2,0.878018,03,tintin_in_america,21,09,snowy
4,0.596332,03,tintin_in_america,21,13,tintin
2,0.55711,03,tintin_in_america,21,13,snowy
4,0.636305,03,tintin_in_america,22,01,tintin
4,0.917574,03,tintin_in_america,22,03,tintin
2,0.838724,03,tintin_in_america,22,04,snowy
2,0.709216,03,tintin_in_america,22,05,snowy
4,0.904586,03,tintin_in_america,22,06,tintin
2,0.687739,03,tintin_in_america,22,07,snowy
4,0.902392,03,tintin_in_america,22,09,tintin
4,0.892153,03,tintin_in_america,23,01,tintin
4,0.895833,03,tintin_in_america,23,02,tintin
4,0.900193,03,tintin_in_america,23,05,tintin
4,0.85378,03,tintin_in_america,23,06,tintin
4,0.909267,03,tintin_in_america,23,13,tintin
4,0.906516,03,tintin_in_america,24,01,tintin
4,0.902782,03,tintin_in_america,24,03,tintin
4,0.912133,03,tintin_in_america,24,04,tintin
4,0.25472,03,tintin_in_america,24,07,tintin
2,0.866461,03,tintin_in_america,24,10,snowy
