epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.47402,1.46958,4.88114,1.50742,0.38161,0.40625,0.26507,0.18401,1.17599,7.05901,1.29986,0.00012221,0.00012221,0.00012221
2,11.6211,1.22525,2.70236,1.30138,0.96303,0.43045,0.61095,0.42333,1.19606,2.57808,1.15037,0.000251314,0.000251314,0.000251314
3,15.7046,1.17826,1.8064,1.23215,0.7798,0.72656,0.80241,0.48662,1.19974,1.59511,1.25578,0.000376018,0.000376018,0.000376018
4,20.5948,1.14833,1.46362,1.22329,0.58375,0.83024,0.75634,0.45864,1.3078,1.93993,1.41745,0.000496323,0.000496323,0.000496323
5,24.5707,1.1813,1.37994,1.2568,0.87975,0.71875,0.92542,0.61975,1.11732,1.05007,1.24595,0.000612228,0.000612228,0.000612228
6,28.5749,1.13463,1.23062,1.18639,0.96354,0.96676,0.96673,0.59996,1.18322,1.10938,1.35665,0.000723733,0.000723733,0.000723733
7,33.2956,1.17007,1.15779,1.25082,0.61444,0.86114,0.80512,0.59911,1.14614,1.32152,1.41644,0.000830839,0.000830839,0.000830839
8,37.329,1.13815,1.08352,1.25184,0.76305,0.84801,0.8634,0.58273,1.04424,1.44206,1.27686,0.000933546,0.000933546,0.000933546
9,41.2791,1.14334,1.05417,1.27855,0.8192,0.79257,0.89306,0.5962,1.14027,1.11749,1.29476,0.000964348,0.000964348,0.000964348
10,46.0667,1.15697,0.98536,1.23377,0.71357,0.74745,0.77578,0.4736,1.3455,1.14608,1.4225,0.000946016,0.000946016,0.000946016
11,49.9939,1.05166,0.87913,1.16054,0.7723,0.59404,0.62866,0.41989,1.36931,1.54111,1.54136,0.000927685,0.000927685,0.000927685
12,54.0028,1.07312,0.91972,1.20965,0.53695,0.88278,0.82131,0.5042,1.32025,2.00077,1.34621,0.000909353,0.000909353,0.000909353
