epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.51106,1.50808,5.03236,1.56061,0.45698,0.34926,0.33411,0.22774,1.21018,4.94368,1.38368,0.00013332,0.00013332,0.00013332
2,11.0853,1.21355,2.50801,1.31119,0.45015,0.80515,0.69097,0.46,1.15528,2.3507,1.18167,0.000275,0.000275,0.000275
3,15.8823,1.18788,1.82127,1.21935,0.63905,0.73586,0.79277,0.50193,1.12895,2.60653,1.20485,0.000413821,0.000413821,0.000413821
4,21.3563,1.1441,1.45087,1.19614,0.80309,0.72721,0.82774,0.5106,1.13825,1.4842,1.3791,0.000549782,0.000549782,0.000549782
5,25.9615,1.1539,1.28723,1.22685,0.82893,0.82984,0.88996,0.5628,1.24157,1.46659,1.39935,0.000682883,0.000682883,0.000682883
6,30.6172,1.18333,1.18714,1.23666,0.84006,0.86213,0.90566,0.59286,1.13615,1.19986,1.27203,0.000813124,0.000813124,0.000813124
7,35.9109,1.17485,1.114,1.22754,0.79377,0.83315,0.85383,0.55784,1.08124,1.26191,1.27731,0.000940506,0.000940506,0.000940506
8,42.2923,1.11795,1.02044,1.17802,0.75244,0.88863,0.94638,0.61949,1.14504,1.29799,1.33346,0.00103401,0.00103401,0.00103401
9,47.5117,1.13504,1.03074,1.18538,0.93468,0.835,0.93775,0.64716,1.06691,0.83589,1.2423,0.00102301,0.00102301,0.00102301
10,52.0535,1.11352,0.92428,1.17221,0.72101,0.8465,0.93555,0.63414,1.09086,0.76142,1.25135,0.00101201,0.00101201,0.00101201
11,56.5255,1.12865,0.95299,1.19709,0.92176,0.67542,0.94958,0.63374,1.0958,0.87556,1.27394,0.00100101,0.00100101,0.00100101
12,61.8037,1.15268,0.95636,1.18548,0.92888,0.72166,0.8716,0.53197,1.08376,1.50058,1.29949,0.000990012,0.000990012,0.000990012
13,66.2731,1.08108,0.89279,1.16708,0.83567,0.7503,0.8752,0.52249,1.30894,1.19162,1.44934,0.000979013,0.000979013,0.000979013
14,71.2855,1.08896,0.88674,1.1621,0.80908,0.88849,0.93144,0.63521,1.00093,1.00722,1.15531,0.000968014,0.000968014,0.000968014
15,76.0168,1.03375,0.86523,1.12702,0.85911,0.85804,0.91245,0.64987,0.97082,0.84938,1.15605,0.000957015,0.000957015,0.000957015
16,80.5071,1.0404,0.7887,1.13982,0.94827,0.8943,0.9673,0.68396,1.10791,0.81906,1.25574,0.000946016,0.000946016,0.000946016
17,85.7344,1.00022,0.73909,1.09981,0.84453,0.90809,0.91895,0.66823,0.94811,0.80099,1.15521,0.000935018,0.000935018,0.000935018
18,90.2825,0.99613,0.7366,1.14218,0.97871,0.86903,0.96488,0.68271,0.9308,0.65742,1.14132,0.000924019,0.000924019,0.000924019
19,94.719,0.99752,0.77507,1.11928,0.92743,0.99062,0.9825,0.72031,0.90537,0.55107,1.11016,0.00091302,0.00091302,0.00091302
20,100.162,1.0127,0.74926,1.14335,0.92752,0.83015,0.97722,0.69485,1.07351,0.79089,1.26272,0.000902021,0.000902021,0.000902021
21,104.749,0.99492,0.67046,1.11728,0.89771,0.97193,0.95885,0.70358,0.90629,0.62958,1.15005,0.000891022,0.000891022,0.000891022
22,109.634,1.0211,0.78347,1.13075,0.85541,1,0.95464,0.71094,0.85116,0.50351,1.09652,0.000880023,0.000880023,0.000880023
23,114.427,0.99502,0.73447,1.12667,0.9651,0.96089,0.99431,0.76937,0.78893,0.51101,1.04166,0.000869024,0.000869024,0.000869024
24,118.97,0.95478,0.69792,1.08625,0.91144,0.92279,0.94933,0.64002,0.9685,0.5219,1.13621,0.000858025,0.000858025,0.000858025
25,124.432,0.95096,0.69049,1.09306,0.94611,0.98529,0.99368,0.74965,0.89706,0.53086,1.09898,0.000847026,0.000847026,0.000847026
26,128.972,0.95012,0.6713,1.08015,0.91638,0.96345,0.995,0.72168,0.88227,0.56153,1.12284,0.000836027,0.000836027,0.000836027
27,133.492,0.94527,0.63641,1.08544,0.92929,0.9132,0.99167,0.70869,0.92239,0.53549,1.12503,0.000825029,0.000825029,0.000825029
28,138.771,0.97691,0.66512,1.11979,0.98499,0.99415,0.995,0.75557,0.84447,0.4842,1.06514,0.00081403,0.00081403,0.00081403
29,143.135,0.89008,0.60927,1.05523,0.92458,0.9858,0.99313,0.76164,0.83936,0.41624,1.05433,0.000803031,0.000803031,0.000803031
30,148.018,0.86662,0.58938,1.07266,0.89729,0.97232,0.98353,0.74001,0.7815,0.52968,1.01792,0.000792032,0.000792032,0.000792032
31,152.843,0.85418,0.59065,1.03176,0.88156,0.77471,0.89764,0.66394,0.90854,1.11587,1.11691,0.000781033,0.000781033,0.000781033
32,157.394,0.88625,0.62757,1.09322,0.81935,0.91468,0.96109,0.73938,0.79189,0.71059,1.0317,0.000770034,0.000770034,0.000770034
33,162.726,0.89816,0.62482,1.07538,0.97818,0.98667,0.995,0.78273,0.74388,0.41491,0.99989,0.000759035,0.000759035,0.000759035
34,167.286,0.86437,0.56876,1.06332,0.96864,0.98396,0.995,0.74791,0.75732,0.44016,1.00601,0.000748036,0.000748036,0.000748036
35,171.796,0.86642,0.58724,1.03398,0.9704,0.97146,0.99431,0.7544,0.75894,0.48765,1.02009,0.000737037,0.000737037,0.000737037
36,177.059,0.84501,0.56441,1.05182,0.95059,0.99406,0.995,0.75199,0.80951,0.40865,1.03816,0.000726038,0.000726038,0.000726038
37,181.59,0.85764,0.58998,1.0451,0.98817,0.98906,0.995,0.77277,0.85963,0.40393,1.04476,0.00071504,0.00071504,0.00071504
38,186.407,0.84621,0.57594,1.01884,0.96854,0.96584,0.99346,0.78609,0.83291,0.40395,1.0468,0.000704041,0.000704041,0.000704041
39,191.74,0.86315,0.5892,1.0522,0.987,0.98529,0.99368,0.7947,0.70427,0.40258,0.96933,0.000693042,0.000693042,0.000693042
40,196.584,0.83372,0.54615,1.04259,0.93975,0.95576,0.995,0.8021,0.69187,0.393,0.96768,0.000682043,0.000682043,0.000682043
41,201.885,0.85276,0.54926,1.05703,0.95853,0.99717,0.995,0.7931,0.74063,0.40001,1.00831,0.000671044,0.000671044,0.000671044
42,206.318,0.8286,0.5655,1.03828,0.94904,0.99764,0.995,0.80197,0.68122,0.38127,0.97893,0.000660045,0.000660045,0.000660045
43,210.831,0.83439,0.52013,1.01353,0.97516,0.98869,0.995,0.75708,0.75421,0.38249,1.00553,0.000649046,0.000649046,0.000649046
44,216.131,0.83897,0.53472,1.05927,0.97792,0.98999,0.995,0.77991,0.69219,0.43308,0.96872,0.000638047,0.000638047,0.000638047
45,220.626,0.80939,0.52036,1.0439,0.9714,0.99527,0.995,0.78119,0.78128,0.43622,1.02817,0.000627048,0.000627048,0.000627048
46,225.621,0.8062,0.54648,1.03892,0.9905,0.9945,0.995,0.82538,0.74601,0.37218,0.99235,0.000616049,0.000616049,0.000616049
47,230.399,0.7761,0.52507,1.02683,0.98808,0.99847,0.995,0.83741,0.67535,0.36802,0.95628,0.000605051,0.000605051,0.000605051
48,235.1,0.80669,0.53543,1.03664,0.98536,1,0.995,0.82647,0.6488,0.35294,0.95028,0.000594052,0.000594052,0.000594052
49,240.431,0.77881,0.50021,0.99394,0.97851,1,0.995,0.83927,0.66223,0.3482,0.96614,0.000583053,0.000583053,0.000583053
50,244.957,0.73788,0.4753,0.99023,0.98354,1,0.995,0.82678,0.73965,0.35325,0.99751,0.000572054,0.000572054,0.000572054
51,249.499,0.76217,0.49376,1.00937,0.95588,1,0.995,0.82635,0.65586,0.36609,0.95519,0.000561055,0.000561055,0.000561055
52,254.662,0.769,0.48307,1.01347,0.98398,0.99992,0.995,0.82523,0.66005,0.35972,0.96268,0.000550056,0.000550056,0.000550056
53,259.419,0.69267,0.45434,0.98746,0.98804,0.99251,0.995,0.84306,0.57731,0.33207,0.92357,0.000539057,0.000539057,0.000539057
54,264.569,0.69652,0.44612,0.98105,0.97429,0.99331,0.995,0.86165,0.57134,0.34064,0.89922,0.000528058,0.000528058,0.000528058
55,269.282,0.71898,0.46533,0.9991,0.98633,0.98454,0.995,0.89204,0.58308,0.30697,0.90524,0.000517059,0.000517059,0.000517059
56,273.992,0.72218,0.43686,0.96649,0.99331,0.98766,0.995,0.87925,0.60169,0.31334,0.92603,0.00050606,0.00050606,0.00050606
57,279.073,0.72479,0.44947,0.96464,0.98733,0.99291,0.995,0.84793,0.58762,0.30635,0.92151,0.000495062,0.000495062,0.000495062
58,283.648,0.70479,0.43843,0.96465,0.98804,0.99446,0.995,0.86263,0.61906,0.3132,0.94915,0.000484063,0.000484063,0.000484063
59,288.262,0.6933,0.41041,0.96122,0.99259,0.99229,0.995,0.87392,0.57534,0.31235,0.91785,0.000473064,0.000473064,0.000473064
60,293.49,0.71566,0.45227,0.99669,0.99038,0.99029,0.995,0.89788,0.50804,0.30589,0.88612,0.000462065,0.000462065,0.000462065
61,298.009,0.68364,0.43217,0.97473,0.98811,0.99075,0.995,0.86901,0.58626,0.2982,0.91589,0.000451066,0.000451066,0.000451066
62,303.268,0.64488,0.41071,0.95108,0.98216,0.99847,0.995,0.8912,0.5072,0.29491,0.87789,0.000440067,0.000440067,0.000440067
63,307.678,0.64983,0.3936,0.95785,0.96219,0.9969,0.995,0.8818,0.54148,0.31434,0.892,0.000429068,0.000429068,0.000429068
64,312.153,0.6629,0.4162,0.95971,0.98886,1,0.995,0.91106,0.47255,0.29381,0.87641,0.000418069,0.000418069,0.000418069
65,317.398,0.65677,0.42382,0.96257,0.98884,1,0.995,0.88119,0.50441,0.28407,0.88605,0.00040707,0.00040707,0.00040707
66,321.826,0.65783,0.42196,0.97581,0.97483,1,0.995,0.89069,0.49968,0.27358,0.87335,0.000396071,0.000396071,0.000396071
67,326.81,0.64086,0.40795,0.93807,0.9875,0.97468,0.995,0.87938,0.49216,0.28156,0.8726,0.000385073,0.000385073,0.000385073
68,331.788,0.60036,0.38251,0.94672,0.98505,1,0.995,0.90911,0.45169,0.27258,0.8656,0.000374074,0.000374074,0.000374074
69,336.329,0.63079,0.38446,0.95448,0.98256,1,0.995,0.90672,0.47976,0.28113,0.87333,0.000363075,0.000363075,0.000363075
70,341.563,0.60977,0.38409,0.93151,0.98911,1,0.995,0.91028,0.45807,0.27905,0.86479,0.000352076,0.000352076,0.000352076
71,346.153,0.60082,0.36372,0.93363,0.99047,0.99199,0.995,0.9167,0.44395,0.25978,0.865,0.000341077,0.000341077,0.000341077
